Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
320 Summer Street,Yes,Office,320 Summer Street,02210," 122,500 ",72.8,85,"2016, 2015",Office,2013, 666.3 ,5.4," 8,912,333.1 ",67.0%,33.0%,,964.2,,"
",,02689-000,"2014, 2015, 2016, 2017, "
321 Summer Street,Yes,Office,321 Summer Street,02210," 91,482 ",44,89,2016,"Office, Parking",1911, 344.0 ,3.8," 4,026,078.1 ",100.0%,,,5.3,,,,0602764000,"2016, 2017, "
33/41 Farnsworth Street,Yes,Office,33/41 Farnsworth Street,02210," 94,381 ",98.4,53,,Office,1980, 688.0 ,7.3," 9,285,259.4 ",64.9%,35.1%,,6.2,,,,0602660010,"2017, "
330 Congress Street,Yes,Office,330 Congress Street,02210," 36,394 ",62.9,76,"2016, 2014","Convenience Store without Gas Station, Office",1895, 189.1 ,5.2," 2,287,415.7 ",91.5%,8.5%,,19.2,,,,0602668000,"2015, 2016, 2017, "
332 Congress Street,Yes,Office,332 Congress Street,02210," 36,192 ",73.6,68,,Office,1980, 227.6 ,6.3," 2,663,318.5 ",100.0%,,,18.5,,,,0602667000,"2017, "
333 Summer,Yes,Office,333 Summer Street,02210," 117,801 ",43.4,92,,Office,1907, 429.8 ,3.6," 5,109,316.3 ",95.9%,4.1%,,7336.7,,,,602765015,"2017, "
343 Congress,Yes,Office,343 Congress Street,02210," 111,535 ",177.7,2,,"Office, Restaurant",1888," 1,650.2 ",14.8," 19,824,138.8 ",93.2%,6.8%,,17.6,,,,0602694000,"2017, "
FP 3,Yes,Multifamily Housing,346 Congress St,02210," 93,300 ",164.4,1,,Multifamily Housing,1996," 1,048.1 ",11.2," 15,338,139.3 ",47.1%,52.9%,,3.2,,,,0602655010,"2015, 2016, 2017, "
35 Channel Center Condominium Trust,Yes,Multifamily Housing,35 Channel Center,02210," 60,000 ",58.2,19,,Multifamily Housing,2004, 258.7 ,4.3," 3,490,302.5 ",64.9%,35.1%,,31.5,,,,0602751300,"2016, 2017, "
Thomson Portfolio - 35 Thomson Place,Yes,Office,35-37 Thomson Place,02210," 53,100 ",92,78,2016,Office,1900, 336.7 ,6.3," 4,883,693.7 ",49.0%,51.0%,,8.1,,,,0602652010,"2016, 2017, "
Channel Trust,Yes,Mixed Use Property,369 Congress St,02210," 57,800 ",67.1,93,,"Office, Other",1918, 239.0 ,4.1," 3,875,786.6 ",26.5%,73.5%,,7.9,,"NStar Electric consumption is compiled meter usage by NStar. 23 meters total.
Gross Floor Area Usage footage is estimated
2014 Was First Full Year Heating System was on Gas
Major Exterior Renovation 2014-2015, Concrete and Masonry, A lot of water was used
",,0602686000,"2014, 2015, 2016, 2017, "
Residence Inn Boston Downtown/Seaport,Yes,Hotel,370 Congress Street,02210," 99,726 ",15.2,99,,"Hotel, Retail Store",1901, 348.0 ,1.2," 4,548,965.0 ",99.3%,0.7%,,3110.7,,,,364-372,"2017, "
374 Congress,Yes,Office,374 Congress Street,02210," 95,855 ",51.6,95,,Office,1980, 364.1 ,3.8," 4,945,627.9 ",63.4%,36.6%,,5.1,,,,0602646010,"2017, "
381 Congress Street,Yes,Multifamily Housing,381 Congress Street,02210," 40,340 ",155.7,1,,"Multifamily Housing, Restaurant",1907, 404.2 ,10.0," 6,279,595.8 ",47.8%,52.2%,,51.7,,"Property includes 44 apartments, made up of 1 bedrooms and studio units.  Popular restaurant Row 34, which has a large raw bar and therefore uses a lot of ice, is located on the majority of the first floor of the building.  This is what most likely is resulting in the out of parameter usage for a multi-family building.",,0602687000,"2017, "
The Atlantic Building,Yes,Office,400 Atlantic Avenue,02210," 104,690 ",75.7,81,,Office,1984, 599.6 ,5.7," 7,923,351.9 ",69.8%,30.2%,,12.4,,,,0302960000,"2014, 2015, 2016, 2017, "
MA0011ZZ - CPT JF WILLIAMS CG B,Voluntary,Office,408 ATLANTIC AV,02210," 176,013 ",Not Available,Not Available,"2014, 2012",Office,1918, Not Available ,Not Available, Not Available ,,,,4.9,,,,0302959000,"2014, 2015, 2016, 2017, "
Flats on D,Yes,Multifamily Housing,411 D Street,02210," 237,984 ",57,20,,Multifamily Housing,2014," 1,045.0 ",4.4," 13,574,132.0 ",73.8%,26.2%,,16.0,,"0602842000
",,0602842000,"2015, 2016, 2017, "
Westin Boston Waterfront Hotel,Voluntary,Hotel,425 Summer Street,02210," 695,000 ",107.3,43,,"Hotel, Parking, Swimming Pool",2006," 5,174.3 ",7.4," 74,539,294.7 ",50.4%,49.6%,,34.6,,Westin Boston  Waterfront Hotel Assessing Parcel ID is  0602805010,,0602805010,"2015, 2016, 2017, "
Thomson Portfolio - 44 Thomson Place,Yes,Office,42-56 Thomson Place,02210," 32,384 ",40.1,Not Available,,Office,1900, 98.4 ,3.0," 1,298,037.2 ",70.2%,29.8%,,1.7,,100% vacant as of 12/31/2015,,0602654010,"2016, 2017, "
Seaport Lofts at 437 D St Condominium,Yes,Multifamily Housing,437 D Street,02210," 13,146 ",61.1,88,,Multifamily Housing,1996, 63.4 ,4.8," 803,736.9 ",79.6%,20.4%,,13664516.0,,,,0602833000,"2014, 2015, 2016, 2017, "
44 Farnsworth,Yes,Office,44 Farnsworth Street,02210," 93,824 ",99,78,,Office,1980, 729.9 ,7.8," 9,292,032.4 ",78.7%,21.3%,,18.0,,,,0602662015,"2017, "
55 Thomson Pl,Yes,Financial Office,44-48 Stillings St,02210," 71,000 ",Not Available,Not Available,,Financial Office,1914, Not Available ,Not Available, Not Available ,,,,,,,,602652003,"2017, "
45 Milk Street,Yes,Office,45 Milk Street,02210," 70,948 ",51.7,96,,Office,1893, 293.8 ,3.8," 3,954,464.2 ",65.5%,34.5%,,10.1,,,,0304662000,"2014, 2015, 2016, 2017, "
Independence Wharf,Yes,Office,470 Atlantic Avenue,02210," 336,362 ",66.3,88,,"Financial Office, Office, Parking",2001," 1,744.2 ",5.4," 21,494,080.0 ",77.4%,0.0%,22.6%,12.8,,,,0302956000,"2014, 2015, 2016, 2017, "
Fraunhofer CSE,Yes,Laboratory,5 Channel Center St,02210," 50,490 ",Not Available,Not Available,,Laboratory,1913, -   ,0.0, Not Available ,,,,,,,,602750030,"2017, "
Vertex ONE,Yes,Laboratory,50 Northern Ave,02210," 585,239 ",148.5,Not Available,,"Laboratory, Parking, Retail Store",2013," 6,162.3 ",10.5," 86,934,555.5 ",55.0%,45.0%,,18.9,,"Parcel A - Vertex Global Headquarters
LEED project ID  1000021954",,0602671015,"2015, 2016, 2017, "
500 Atlantic Avenue Condo Association,Yes,Hotel,500 Atlantic Avenue,02210," 697,555 ",49,46,,"Hotel, Multifamily Housing, Parking",2006," 2,731.9 ",3.9," 34,162,462.8 ",83.1%,16.9%,,40.5,,,,0503062000,"2016, 2017, "
Waterside Place,Yes,Multifamily Housing,505 Congress Street,02210," 250,000 ",67.4,6,,"Multifamily Housing, Parking",2014," 1,327.9 ",5.3," 16,848,063.4 ",79.5%,20.5%,,23.5,,Parcel ID 0602678015,,0602678015,"2015, 2016, 2017, "
51 Melcher,Yes,Office,51 Melcher Street,02210," 99,000 ",58.6,83,,Office,1915, 469.0 ,4.7," 5,798,502.1 ",85.9%,14.1%,,7.5,,,,0601166040,"2014, 2015, 2016, 2017, "
51 Sleeper Street,Yes,Office,51 Sleeper Street,02210," 150,363 ",50.7,87,"2016, 2015",Office,1929, 652.0 ,4.3," 7,630,487.1 ",100.0%,,,8.0,,,,0602670000,"2014, 2015, 2016, 2017, "
The Lofts,Yes,Other - Lodging/Residential,530 Atlantic Avenue,02210," 124,123 ",81.4,Not Available,,"Other - Lodging/Residential, Other - Restaurant/Bar",2011, 670.9 ,5.4," 10,109,286.5 ",41.0%,59.0%,,30.5,,The Lofts includes parcel # 03-02952-014,,0302952014,"2015, 2016, 2017, "
01-1-Boston Head Office,Yes,Financial Office,600 Atlantic Avenue,02210," 1,078,903 ",88.3,81,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2008","Data Center, Financial Office, Office, Parking",1978," 12,808.2 ",11.9," 95,252,872.8 ",58.5%,1.8%,39.7%,11.2,,,,0304340000,"2014, 2015, 2016, 2017, "
John Hancock - 601 Congress Street,Yes,Financial Office,601 Congress Street,02210," 525,642 ",58,97,"2016, 2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006","Data Center, Financial Office, Parking",2004," 2,316.5 ",4.4," 30,490,228.6 ",96.9%,2.9%,,13.7,,LEED project ID - 1000005675,,0602678701,"2014, 2015, 2016, 2017, "
9673r-Renaissance Boston Waterfront,Yes,Hotel,606 Congress Street,02210," 405,633 ",113.6,52,,Hotel,2008," 3,078.7 ",7.6," 46,063,439.2 ",42.4%,57.6%,,33.7,,,,3351813,"2015, 2016, 2017, "
Renaissance Boston Waterfront Hotel,Yes,Hotel,606 Congress Street,02210," 538,000 ",36.4,89,,"Hotel, Swimming Pool",2008," 1,671.5 ",3.1," 19,563,044.0 ",100.0%,,,25.5,,,,602680110,"2017, "
Factory 63,Yes,Multifamily Housing,63 Melcher Street,02210," 39,723 ",51.6,13,,Multifamily Housing,2012, 175.3 ,4.4," 2,051,584.5 ",100.0%,,,13.5,,,,06 01166-030,"2017, "
451D,Yes,Office,70 Fargo Street,02210," 474,728 ",127.8,58,,"Data Center, Office, Parking",1905," 5,157.3 ",10.9," 60,666,930.7 ",98.7%,1.3%,,9.7,,,,0602825000,"2014, 2015, 2016, 2017, "
Harbor Seafood,Yes,Other,8 Seafood Way,02210," 66,087 ",161.9,Not Available,,Other,2001, 841.0 ,12.7," 10,696,853.3 ",78.9%,21.1%,,170128.4,,,,0602674003,"2015, 2016, 2017, "
75 Clarendon Street Condo Trust,Yes,Multifamily Housing,c/o Barkan Management,02210," 46,100 ",45.5,69,,Multifamily Housing,1000, 162.0 ,3.5," 2,097,353.5 ",74.6%,25.4%,,34.2,,,,0501048000,"2015, 2016, 2017, "
ONE Marina Park Drive,Yes,Office,ONE Marina Park Drive,02210," 537,037 ",35.4,100,,"Office, Parking, Restaurant",2009," 1,334.9 ",2.5," 19,013,279.1 ",52.9%,47.1%,,18.8,,,,0602671035,"2014, 2015, 2016, 2017, "
Park Lane,Yes,Multifamily Housing,One Park Lane,02210," 427,586 ",89.9,6,,"Multifamily Housing, Other, Parking",2006," 2,772.9 ",6.5," 38,419,806.4 ",59.0%,41.0%,,42.3,,Parcel IDs: 0602680150 0602680252 0602680250,,0602680150;0602680252,"2015, 2016, 2017, "
SH Building,Yes,Hotel,Seaport Lane,02210," 335,000 ",169.6,Not Available,,"Data Center, Hotel, Swimming Pool",1998," 3,657.4 ",10.9," 56,819,490.2 ",47.8%,52.2%,,43.1,,,,0602679010,"2017, "
DFCI - Smith Building,Yes,Other,1 Jimmy Fund Way,02215," 328,204 ",547.2,Not Available,,"Other, Parking",1995," 12,142.9 ",37.0," 179,601,704.2 ",20.2%,,48.9%,74.7,,"Smith Building

The Smith Building contains a mix of space uses, primarily specialized medical research laboratories. DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401919000,"2014, 2015, 2016, 2017, "
10 Buick Street,Yes,Residence Hall/Dormitory,10 Buick Street,02215," 384,971 ",54.8,83,,Residence Hall/Dormitory,2000," 1,329.3 ",3.5," 21,092,700.1 ",30.5%,69.3%,,39.2,,,,2100401000,"2014, 2015, 2016, 2017, "
100 Ashford Street,Yes,Other - Stadium,100 Ashford Street,02215," 96,292 ",100.5,Not Available,,Other - Stadium,2002, 656.5 ,6.8," 9,681,813.2 ",45.4%,54.6%,,3.7,,,,2100415000,"2014, 2015, 2016, 2017, "
100 Bay State Road,Yes,Office,100 Bay State Road,02215," 123,678 ",153.7,Not Available,,"Food Service, Office",2012," 1,311.5 ",10.6," 19,014,691.5 ",49.1%,51.0%,,33.0,,,,504028000,"2014, 2015, 2016, 2017, "
100 Jersey,Yes,Multifamily Housing,100 Jersey Street,02215," 35,000 ",7.2,Not Available,,Multifamily Housing,1988, 21.6 ,0.6," 252,488.0 ",100.0%,,,33.8,,,,504231000,"2017, "
10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,02215," 66,456 ",130.7,11,,Multifamily Housing,1924, 484.8 ,7.3," 8,684,714.6 ",8.4%,91.6%,,65.5,,,,2100201000,"2014, 2015, 2016, 2017, "
1019 Commonwealth Avenue,Yes,Residence Hall/Dormitory,1019 Commonwealth Avenue,02215," 77,750 ",62.6,77,,Residence Hall/Dormitory,1977, 329.7 ,4.2," 4,866,474.1 ",45.3%,54.7%,,29.9,,,,2100468000,"2014, 2015, 2016, 2017, "
Fenway Views Condominium,Yes,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",02215," 43,281 ",110.7,11,,"Multifamily Housing, Parking",1990, 314.9 ,7.3," 4,791,012.1 ",39.0%,61.0%,,78.9,,,,2100033010,"2015, 2016, 2017, "
Boston location,Yes,Urgent Care/Clinic/Other Outpatient,1055 Commonwealth Ave,02215," 42,650 ",Not Available,Not Available,,"Parking, Urgent Care/Clinic/Other Outpatient",1920, Not Available ,Not Available, Not Available ,,,,,,,,2100473000,"2015, 2017, "
07588-Allston,Yes,Supermarket/Grocery Store,1065 Commonwealth Ave,02215," 64,485 ",296.7,27,,Supermarket/Grocery Store,1999," 1,462.8 ",22.7," 19,135,715.4 ",72.2%,27.8%,,21.3,,,,2100475000,"2014, 2015, 2016, 2017, "
Queensbury Condominiums,Yes,Multifamily Housing,107-111 Jersey St,02215," 37,148 ",49.6,96,,Multifamily Housing,1910, 112.1 ,3.0," 1,842,837.7 ",23.9%,76.1%,,35.9,,,,504290000,"2017, "
Fenway Views Condominiums: 108 Peterborough,Yes,Multifamily Housing,108 Peterborough St,02215," 60,085 ",56.4,99,,Multifamily Housing,1990, 192.9 ,3.2," 3,391,188.4 ",11.7%,88.3%,,57.1,,"""check basement area""",,2100033010,"2017, "
AMS Realty Trust,Yes,Mixed Use Property,1082 Commonwealth Avenue,02215," 25,737 ",86.3,80,,"Multifamily Housing, Restaurant",1920, 131.9 ,5.1," 2,221,464.4 ",19.4%,80.6%,,49.3,,,,2101597000,"2017, "
109 Brookline Ave. - Ste # 602030,Yes,Office,109 BROOKLINE AVE,02215," 305,362 ",271.5,5,,"Office, Parking",1990," 6,768.6 ",22.2," 82,914,338.8 ",88.2%,11.8%,,15.5,,,,2100071000,"2014, 2015, 2016, 2017, "
109 Boylston Street Condominium,Yes,Multifamily Housing,1091 Boylston,02215," 19,161 ",141.2,16,,Multifamily Housing,1920, 158.9 ,8.3," 2,705,766.5 ",17.3%,82.7%,,85.3,,,,504162000,"2017, "
Bobson Realty,Yes,Multifamily Housing,11 Queensbury St,02215," 552,721 ",0.3,Not Available,,Multifamily Housing,1930, 10.9 ,0.0," 162,601.5 ",42.9%,57.1%,,3.0,,"Estimated Square footage was used .Estimated Year built was used.

Tax Parcel 0504241000",,504241000,"2016, 2017, "
West Fenway Elderly Housing (Fen Apts): Fen Apts (110 Peterborough St),Yes,Multifamily Housing,110 Peterborough St,02215," 40,752 ",51.7,91,,Multifamily Housing,1990, 138.1 ,3.4," 2,105,075.1 ",38.7%,61.3%,,40.8,,,,2100033000,"2017, "
110-112 Cummington Street,Yes,College/University,110-112 Cummington Street,02215," 48,901 ",4.3,Not Available,,College/University,1923, 11.1 ,0.2," 209,573.3 ",,100.0%,,4.0,,,,2100277000,"2014, 2015, 2016, 2017, "
Fenmore Condominium,Yes,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",02215," 107,517 ",113.2,57,,Multifamily Housing,1930, 717.2 ,6.7," 12,175,444.4 ",17.9%,82.1%,,75.3,,,,504165000,"2015, 2016, 2017, "
111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),02215," 93,831 ",315.1,Not Available,,College/University,1911," 1,848.7 ",19.7," 29,568,552.4 ",29.1%,70.9%,,11.6,,,,"2100282000, 504100000","2014, 2015, 2016, 2017, "
111 Park Drive,Yes,Multifamily Housing,111 Park Drive,02215," 35,000 ",51.6,Not Available,,Multifamily Housing,1920, 134.0 ,3.8," 1,805,301.5 ",0.2%,,,37.7,,,,504272000,"2017, "
Lincoln Halls at Park Drive Condominium,Yes,Multifamily Housing,11-15 Park Drive,02215," 53,585 ",72.1,87,,Multifamily Housing,1920, 223.0 ,4.2," 3,813,458.3 ",16.6%,83.4%,,35.5,,,,0504213000,"2015, 2016, 2017, "
1140 Boylston Street,Yes,College/University,1140 Boylston Street,02215," 66,920 ",79.4,Not Available,,College/University,1920, 403.4 ,6.0," 5,314,240.2 ",70.5%,29.5%,,7.7,,,,401755000,"2014, 2015, 2016, 2017, "
Massachusetts Historical Society,Yes,Museum,1154 Boylston Street,02215," 48,000 ",31779.9,Not Available,,Museum,1899," 101,322.5 ",2110.9," 1,525,434,626.8 ",0.1%,,99.9%,4.6,,,,401754000,"2016, 2017, "
Boylston - 1163 Boylston Street,Yes,Multifamily Housing,1163 Boylston St,02215," 174,700 ",121.3,27,,Multifamily Housing,1920," 1,303.8 ",7.5," 21,182,812.6 ",26.1%,73.9%,,68.0,,"Boylston I & II 0504179000; 0504180000; 0504181000; 0504182000; 0504183000; 0504184000; 0504185000

CBL does not accurately reflect the property area and only sites 1163 Boylston as required to report. This represents the full property accurately and includes the property addresses. ",,0504178000,"2015, 2016, 2017, "
117 Park Drive,Yes,Multifamily Housing,117 Park Drive,02215," 35,000 ",46.3,Not Available,,Multifamily Housing,1920, 120.5 ,3.4," 1,621,990.2 ",0.5%,,,34.3,,,,504273000,"2017, "
"Boylston Street, LLC",Yes,Multifamily Housing,1197-1209 Boylston Street,02215," 78,306 ",36.5,100,,Multifamily Housing,1920, 188.9 ,2.4," 2,859,517.1 ",40.0%,60.0%,,5352.0,,,,"504185000, 504186000, 504187000","2017, "
120 Ashford Street,Yes,Distribution Center,120 Ashford Street,02215," 65,198 ",119.2,10,,"Distribution Center, Office, Parking",1958, 494.5 ,7.6," 7,768,569.6 ",32.6%,67.4%,,5.6,,,,2100414000,"2014, 2015, 2016, 2017, "
Mountfort Place Condo Trust,Yes,Multifamily Housing,120 Mountfort Street,02215," 35,800 ",59.9,49,,Multifamily Housing,2005, 152.2 ,4.3," 2,145,562.4 ",55.1%,44.9%,,37.2,,,,2100256000,"2017, "
Residence Inn Boston Back Bay Fenway,Yes,Hotel,125 Brookline Ave,02215," 152,929 ",Not Available,Not Available,,"Hotel, Parking, Swimming Pool",2013, Not Available ,Not Available, Not Available ,,,,,,,,2100072000,"2017, "
Fenway By The Park Condominium,Yes,Multifamily Housing,125-131 Park Drive,02215, 100 ,81.4,87,,Multifamily Housing,1950, 236.3 ,4.8," 4,001,710.2 ",18.4%,81.7%,,23308.0,,,,0504275000,"2015, 2016, 2017, "
1255 Boylston Street,Yes,Mixed Use Property,1255 Boylston Street,02215," 32,835 ",63.8,48,,"Office, Retail Store",1950, 179.0 ,5.5," 2,094,630.2 ",100.0%,,,2.7,,,,504206000,"2016, 2017, "
126 Brookline Ave,Yes,Mixed Use Property,126 Brookline Ave,02215," 61,406 ",252.2,1,,"Office, Retail Store",1920," 1,025.9 ",16.7," 15,484,214.6 ",40.7%,59.3%,,82.6,,,,504328000,"2016, 2017, "
The Verb Hotel,Yes,Hotel,1271 Boylston St,02215," 34,509 ",155.3,4,,"Hotel, Swimming Pool",1959, 350.4 ,10.2," 5,357,566.8 ",52.1%,47.9%,,96.6,,,,504208000,"2017, "
The Viridian,Yes,Multifamily Housing,1282 Boylston Street,02215," 272,845 ",94.5,2,,"Multifamily Housing, Parking, Retail Store",2014," 2,020.7 ",7.4," 25,777,362.1 ",78.2%,21.8%,,31.0,,This property was under construction in 2013 and 2014.  The first tenant moved in 5/1/2015.,,0504225000,"2015, 2016, 2017, "
1295 Boylston - Ste# 535088,Yes,Office,1295 BOYLSTON ST,02215," 130,751 ",180,10,,"Office, Parking, Retail Store",1990," 1,810.6 ",13.8," 23,532,683.3 ",73.7%,26.3%,,7.2,,,,0504210010,"2014, 2015, 2016, 2017, "
VanNess,Yes,Mixed Use Property,1325-1341 Boylston Street,02215," 647,365 ",92.8,60,,"Multifamily Housing, Office, Parking, Retail Store",2015," 4,719.9 ",7.3," 60,093,364.4 ",78.7%,21.3%,,11.8,,,,504322010,"2016, 2017, "
Harvard Vanguard Medical Associates,Yes,Medical Office,133 brookline Ave,02215," 278,667 ",192.7,Not Available,,"Data Center, Medical Office, Parking",1900," 3,809.2 ",13.7," 53,692,287.7 ",55.2%,44.8%,,614.0,,,,2100074000,"2014, 2015, 2016, 2017, "
"1330 Boylston Street Properties, LLC",Yes,Multifamily Housing,1330 Boylston Street,02215," 350,714 ",58.5,Not Available,,"Multifamily Housing, Office, Parking, Retail Store",2008," 1,436.5 ",4.1," 20,504,167.7 ",52.4%,47.6%,,38.9,,Parcel ID 0504314014,,0504314014,"2015, 2016, 2017, "
137 Park Drive - Gilbert Realty Trust,Yes,Multifamily Housing,137 Park Drive,02215," 31,092 ",2.1,100,,Multifamily Housing,1926, 5.7 ,0.2," 66,791.8 ",99.2%,0.8%,,3.8,,,,504277000,"2017, "
140 Bay State Road,Yes,Residence Hall/Dormitory,140 Bay State Road,02215," 128,887 ",83.4,68,,Residence Hall/Dormitory,1958, 657.9 ,5.1," 10,743,306.3 ",25.1%,74.9%,,42.7,,,,0504003000,"2014, 2015, 2016, 2017, "
100 Monmouth St LLC,Yes,Parking,142-146 St Mary's St,02215," 47,904 ",Not Available,Not Available,,Parking,1920, 15.5 ,Not Available," 202,483.5 ",100.0%,,,,,,,2100115000,"2017, "
143 Park Drive - Gilbert Realty Trust,Yes,Multifamily Housing,143 Park Drive,02215," 33,492 ",86.3,89,,Multifamily Housing,1926, 215.3 ,6.4," 2,891,994.3 ",2.7%,0.4%,,8.7,,,,504278000,"2017, "
150 Mass Ave,Yes,College/University,150 Mass Ave,02215," 216,000 ",105.2,Not Available,,College/University,1900," 1,554.9 ",7.2," 22,717,635.9 ",47.4%,52.6%,,35.2,,,,"401372001, 401372000","2014, 2016, 2017, "
136 Mass Ave,Yes,College/University,150 Mass Ave,02215," 36,500 ",17.8,Not Available,,College/University,1900, 55.5 ,1.5," 649,521.6 ",100.0%,,,35.4,,,,401373001,"2016, 2017, "
Campus Center and Student Residence,Yes,Residence Hall/Dormitory,150 Riverway,02215," 58,000 ",102.9,83,,Residence Hall/Dormitory,2008, 317.0 ,5.5," 5,967,837.8 ",0.0%,100.0%,,38.9,,,,0402000000,"2015, 2016, 2017, "
Audubon Park Condo Trust,Yes,Multifamily Housing,16 Miner St,02215," 84,310 ",33.9,86,,Multifamily Housing,2007, 208.8 ,2.5," 2,856,283.4 ",61.8%,38.2%,,15.1,,,,2100167000,"2015, 2016, 2017, "
160 Mass Ave,Yes,Residence Hall/Dormitory,160 Mass Ave,02215," 176,000 ",112.9,28,,Residence Hall/Dormitory,2013," 1,370.0 ",7.8," 19,878,091.5 ",48.9%,51.1%,,44.8,,,,401312000,"2014, 2015, 2016, 2017, "
Riverway House,Yes,Residence Hall/Dormitory,160-162 Riverway,02215," 36,940 ",52.2,88,,Residence Hall/Dormitory,1910, 129.5 ,3.5," 1,927,591.4 ",43.5%,56.5%,,23.7,,,,0402000000,"2015, 2016, 2017, "
Trilogy,Yes,Multifamily Housing,170 Brookline Avenue,02215," 142,773 ",60.5,31,,Multifamily Housing,2006, 616.1 ,4.3," 8,632,979.4 ",56.4%,43.6%,,43.0,,"Boston Data
170 BROOKLINE AVE
Parcel 2100051018	

Harvard Data
Root 06101	
Trilogy – 170 Brookline Ave.
HUH
",,2100051018,"2015, 2016, 2017, "
ARTS ACADEMY,Municipal ,K-12 School,174 Ipswich St.,02215," 129,800 ",65.3,68,,K-12 School,1998, 536.2 ,4.1," 8,480,636.8 ",31.3%,68.7%,,,,,,504189000,"2016, 2017, "
Activities Building,Yes,College/University,180 Riverway,02215," 98,044 ",57.3,Not Available,,College/University,1967, 434.5 ,4.4," 5,613,652.9 ",75.1%,24.9%,,24.3,,,,0402000000,"2014, 2015, 2016, 2017, "
2 Cummington Street (23-25 Blandford Street),Yes,Laboratory,2 Cummington Street (23-25 Blandford Street),02215," 61,754 ",134.7,Not Available,,Laboratory,1905, 590.5 ,9.6," 8,317,673.8 ",55.3%,44.7%,,11.6,,,,2100295000,"2014, 2015, 2016, 2017, "
Our Lady's Guild House,Yes,Multifamily Housing,20 Charlesgate West,02215," 58,320 ",74.6,89,,Multifamily Housing,1899, 238.6 ,4.1," 4,353,343.4 ",5.2%,94.8%,,46.6,,,,0503917001,"2017, "
20-28 Cummington Street (24 Cummington St),Yes,Laboratory,20-28 Cummington Street (24 Cummington St),02215," 188,575 ",386.6,Not Available,,Laboratory,1983," 5,102.0 ",27.1," 72,894,793.2 ",52.2%,47.8%,,67.1,,,,2100288000,"2014, 2015, 2016, 2017, "
Shattuck Int’l House,Yes,Multifamily Housing,203 Park Drive,02215," 60,077 ",56.7,93,"2016, 2015, 2014, 2013, 2012, 2006",Multifamily Housing,1920, 212.0 ,3.5," 3,406,692.6 ",28.2%,71.8%,,24.8,,,,2100005010,"2014, 2015, 2016, 2017, "
Peabody Hall,Yes,Residence Hall/Dormitory,210 Riverway,02215," 60,656 ",79.7,80,,Residence Hall/Dormitory,1910, 295.7 ,4.9," 4,831,605.2 ",25.0%,75.0%,,8.9,,,,0401998000,"2015, 2016, 2017, "
213-217 Bay State Road,Yes,Worship Facility,213-217 Bay State Road,02215," 130,204 ",27.4,Not Available,,Worship Facility,2003, 249.5 ,1.9," 3,569,253.4 ",51.9%,48.1%,,3.5,,,,504079000,"2014, 2015, 2016, 2017, "
PHS-BWH-Boston Lying In,Yes,Outpatient Rehabilitation/Physical Therapy,221 Longwood Avenue,02215," 247,418 ",385.2,Not Available,,Outpatient Rehabilitation/Physical Therapy,1930," 6,306.1 ",25.5," 95,300,615.7 ",26.2%,,42.7%,40.3,,,,0401845000,"2014, 2015, 2016, 2017, "
22-24 Buswell Street,Yes,Multifamily Housing,22-24 Buswell Street,02215," 35,036 ",60,93,,Multifamily Housing,1914, 121.4 ,3.5," 2,101,919.8 ",14.3%,85.7%,,42.3,,,,"2100199000, 2100200000","2014, 2015, 2016, 2017, "
Park Associates,Yes,Multifamily Housing,231 Park Drive,02215," 58,002 ",90.7,77,,Multifamily Housing,1920, 299.6 ,5.2," 5,263,090.5 ",11.8%,88.2%,,61.7,,,,2100029000,"2015, 2016, 2017, "
233 Bay State Road,Voluntary,Other,233 Bay State Road,02215," 19,300 ",76.2,Not Available,,College/University,1968, 107.2 ,5.6," 1,471,333.3 ",61.1%,38.9%,,5.4,,LEED Project Number 1000023830,,2100356000,"2015, 2016, 2017, "
Peterborough Gardens Condo,Yes,Multifamily Housing,24 and 30 Peterborough Street,02215," 24,432 ",98.2,73,,Multifamily Housing,1987, 136.6 ,5.6," 2,398,159.6 ",11.9%,88.1%,,48.7,,,,504236000,"2017, "
25 Buick Street,Yes,Office,25 Buick Street,02215," 96,215 ",220,14,,"Office, Parking",1928," 1,332.0 ",13.8," 21,162,762.6 ",30.4%,69.6%,,10.7,,,,2100400000,"2014, 2015, 2016, 2017, "
25 Park Drive,Yes,Multifamily Housing,25 Park Drive,02215," 26,150 ",5.6,100,,Multifamily Housing,1960, 12.6 ,0.5," 147,111.8 ",100.0%,,,,,,,504238000,"2016, 2017, "
